experiment,model,Precision,Recall,Macro-F1,n
exp1,exp1_baseline,0.5921574629724449,0.7057404361544926,0.5987293458582245,104
exp1,exp1_permutation,0.650178204624283,0.7174790219861525,0.6552997771744601,104
exp1,exp1_full,0.7103553032743662,0.7213961971460155,0.698824249274829,104
exp1,exp1_synthetic,0.6435544508404436,0.7148049526609037,0.6424186769911844,104
exp2,exp2_mixed,0.5542066730148851,0.725169989593968,0.5665881025654108,104
exp2,exp2_sequential,0.6232879858437438,0.6936088600399034,0.6279606901558522,104
exp2,exp2_structured,0.6034296400557616,0.7142463411797894,0.6169435782520143,104
exp2,exp2_unstructured,0.6586142421352227,0.699038736697163,0.6591308044862287,104
exp3,exp3_warmup,0.7015458113264932,0.7331128393373059,0.6964665355961462,104
exp3,exp3_no_warmup,0.6937859220384328,0.7223837295555025,0.6838836708235718,104
exp3,exp3_staged,0.6632377665959327,0.6999388049806753,0.6653723057337027,104
